"filename", "language", "C++", "HTML", "Dart", "Markdown", "YAML", "Swift", "JSON", "XML", "JavaScript", "Groovy", "Properties", "WebAssembly Text Format", "comment", "blank", "total"
"d:\Mobileapp\mgame\.firebase\mgame-8c88b\hosting\assets\AssetManifest.bin.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Mobileapp\mgame\.firebase\mgame-8c88b\hosting\assets\AssetManifest.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Mobileapp\mgame\.firebase\mgame-8c88b\hosting\assets\FontManifest.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Mobileapp\mgame\.firebase\mgame-8c88b\hosting\assets\packages\wakelock_plus\assets\no_sleep.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 197, 0, 0, 0, 11, 23, 231
"d:\Mobileapp\mgame\.firebase\mgame-8c88b\hosting\canvaskit\canvaskit.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 212, 0, 0, 0, 0, 6, 218
"d:\Mobileapp\mgame\.firebase\mgame-8c88b\hosting\canvaskit\canvaskit.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 125931, 0, 3530, 129461
"d:\Mobileapp\mgame\.firebase\mgame-8c88b\hosting\canvaskit\chromium\canvaskit.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 212, 0, 0, 0, 0, 6, 218
"d:\Mobileapp\mgame\.firebase\mgame-8c88b\hosting\canvaskit\chromium\canvaskit.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104098, 0, 2567, 106665
"d:\Mobileapp\mgame\.firebase\mgame-8c88b\hosting\canvaskit\skwasm.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 0, 6, 171
"d:\Mobileapp\mgame\.firebase\mgame-8c88b\hosting\canvaskit\skwasm.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53534, 0, 1385, 54919
"d:\Mobileapp\mgame\.firebase\mgame-8c88b\hosting\canvaskit\skwasm.worker.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"d:\Mobileapp\mgame\.firebase\mgame-8c88b\hosting\flutter.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 1, 5
"d:\Mobileapp\mgame\.firebase\mgame-8c88b\hosting\flutter_service_worker.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 357, 0, 0, 0, 31, 3, 391
"d:\Mobileapp\mgame\.firebase\mgame-8c88b\hosting\index.html", "HTML", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 15, 129
"d:\Mobileapp\mgame\.firebase\mgame-8c88b\hosting\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 35
"d:\Mobileapp\mgame\.firebase\mgame-8c88b\hosting\version.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Mobileapp\mgame\README.md", "Markdown", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
